X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.692.304;-1.223.076;TIENDAS TAMBO S.A.C;ETAPA SEGUNDA MZA. M LOTE. 21 AGR. PACHACAMAC S. 4 - VILLA EL SALVADOR;07:00 am - 10:30 pm;-1.223.076;-7.692.304;07:00 am - 10:30 pm;ETAPA SEGUNDA MZA. M LOTE. 21 AGR. PACHACAMAC S. 4 - VILLA EL SALVADOR;;;;;;;;;;;;;;;;;;;;;;;
-770.692;-1.208.868;TIENDAS TAMBO S.A.C;AVENIDA MARISCAL SUCRE (EX INDEPENDENCIA ) NUM. 1099  MAGDALENA DEL MAR;07:00 am - 10:30 pm;-1.208.868;-770.692;07:00 am - 10:30 pm;AVENIDA MARISCAL SUCRE (EX INDEPENDENCIA ) NUM. 1099  MAGDALENA DEL MAR;;;;;;;;;;;;;;;;;;;;;;;
-7.711.674;-1.206.232;TIENDAS TAMBO S.A.C;MZA. B4 LOTE. 7 URB. CIUDAD DEL PESCADOR PROV. CONST. DEL CALLAO;07:00 am - 10:30 pm;-1.206.232;-7.711.674;07:00 am - 10:30 pm;MZA. B4 LOTE. 7 URB. CIUDAD DEL PESCADOR PROV. CONST. DEL CALLAO;;;;;;;;;;;;;;;;;;;;;;;
-7.692.489;-1.202.956;TIENDAS TAMBO S.A.C;AV. CARRETERA CENTRAL MZA. C LOTE. 18 URB PORVENIR DE VITARTE  LIMA-LIMA-ATE;07:00 am - 10:30 pm;-1.202.956;-7.692.489;07:00 am - 10:30 pm;AV. CARRETERA CENTRAL MZA. C LOTE. 18 URB PORVENIR DE VITARTE  LIMA-LIMA-ATE;;;;;;;;;;;;;;;;;;;;;;;
-7.709.711;-1.198.988;TIENDAS TAMBO S.A.C;AV. CARLOS ALBERTO IZAGUIRRE MZA. A LOTE. 23 COO. VIVIENDA LOS ANDES (CDRA 25 AV CARLOS ALBERTO IZAGUIRRE);07:00 am - 10:30 pm;-1.198.988;-7.709.711;07:00 am - 10:30 pm;AV. CARLOS ALBERTO IZAGUIRRE MZA. A LOTE. 23 COO. VIVIENDA LOS ANDES (CDRA 25 AV CARLOS ALBERTO IZAGUIRRE);;;;;;;;;;;;;;;;;;;;;;;
-7.707.531;-1.198.397;BOTICA;AV LOS ALISOS 959 URB. MICAELA BASTIDAS ;07:00 am - 10:00 pm;-1.198.397;-7.707.531;07:00 am - 10:00 pm;AV LOS ALISOS 959 URB. MICAELA BASTIDAS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.136;-1.194.156;LIBRERÍA;AV VICTOR A. BELAUNDE ESTE 778 EL CARMEN ;07:00 am - 10:00 pm;-1.194.156;-7.704.136;07:00 am - 10:00 pm;AV VICTOR A. BELAUNDE ESTE 778 EL CARMEN;;;;;;;;;;;;;;;;;;;;;;;
-7.708.411;-1.199.565;TIENDAS TAMBO S.A.C;AV. ANTUNEZ DE MAYOLO MZA. A LOTE. 2 URB. RESIDENCIAL COMERCIAL LOS OLIVOS LIMA - LIMA - LOS OLIVOS;07:00 am - 10:30 pm;-1.199.565;-7.708.411;07:00 am - 10:30 pm;AV. ANTUNEZ DE MAYOLO MZA. A LOTE. 2 URB. RESIDENCIAL COMERCIAL LOS OLIVOS LIMA - LIMA - LOS OLIVOS;;;;;;;;;;;;;;;;;;;;;;;
-7.708.375;-1.193.596;BOTICA RACHEL;AV. MALECON MZ B1 LT1   ASOCIACION LOS PORTALES JARDINES DE  CHILLON / REFERENCIA: PARADERO LOS PORTALES  METROLITANO AN-13 PUENTE LA ENCENADA PARQUE LOS PORTALES;07:00 am - 10:00 pm;-1.193.596;-7.708.375;07:00 am - 10:00 pm;AV. MALECON MZ B1 LT1   ASOCIACION LOS PORTALES JARDINES DE  CHILLON / REFERENCIA: PARADERO LOS PORTALES  METROLITANO AN-13 PUENTE LA ENCENADA PARQUE LOS PORTALES;;;;;;;;;;;;;;;;;;;;;;;
-7.707.294;-1.186.739;BOTICA;AV PANAMERICANA NORTE MZ D LT 01 URB PUENTE PIEDRA;07:00 am - 10:00 pm;-1.186.739;-7.707.294;07:00 am - 10:00 pm;AV PANAMERICANA NORTE MZ D LT 01 URB PUENTE PIEDRA;;;;;;;;;;;;;;;;;;;;;;;
