X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;;;;;;;;;;;;;;;;;;
-7.693.657;-1.206.128;LIBRERIA RYAN;CALLE CORDILLERA DEL CONDOR MZ C LT. 11 / REFERENCIA: ALTURA COLEGIO ALPAMAYO;07:00 am - 10:00 pm;-1.206.128;-7.693.657;07:00 am - 10:00 pm;CALLE CORDILLERA DEL CONDOR MZ C LT. 11 / REFERENCIA: ALTURA COLEGIO ALPAMAYO;;;;;;;;;;;;;;;;;;;;;;;
-7.707.228;-1.198.924;LIBRERÍA-BAZAR TOMMY;JR LA HIEDRA NRO 821 URB LAS PALMERAS;07:30 am - 10:00 pm;-1.198.924;-7.707.228;07:30 am - 10:00 pm;JR LA HIEDRA NRO 821 URB LAS PALMERAS;;;;;;;;;;;;;;;;;;;;;;;
-7.708.366;-1.199.589;VENTA ARTÍCULOS DE LIMPIEZA;AV ANTUNEZ DE MAYOLO 1643 ;07:00 am - 10:00 pm;-1.199.589;-7.708.366;07:00 am - 10:00 pm;AV ANTUNEZ DE MAYOLO 1643;;;;;;;;;;;;;;;;;;;;;;;
-770.056;-1.211.743;TIENDAS TAMBO S.A.C;AV. PRINCIPAL NRO 567 (FRENTE AV. PRINCIPAL) LIMA-LIMA-SURQUILLO;07:00 am - 10:30 pm;-1.211.743;-770.056;07:00 am - 10:30 pm;AV. PRINCIPAL NRO 567 (FRENTE AV. PRINCIPAL) LIMA-LIMA-SURQUILLO;;;;;;;;;;;;;;;;;;;;;;;
-7.702.678;-1.202.426;MEDIA NARANJA;AV. BARREDA Y AGUILAR  392 ;07:00 am - 10:00 pm;-1.202.426;-7.702.678;07:00 am - 10:00 pm;AV. BARREDA Y AGUILAR  392;;;;;;;;;;;;;;;;;;;;;;;
-7.703.275;-1.195.639;MINIMARKET ZARZOSA;AV CERRO DE PASCO MZ A LT 2;07:00 am - 10:00 pm;-1.195.639;-7.703.275;07:00 am - 10:00 pm;AV CERRO DE PASCO MZ A LT 2;;;;;;;;;;;;;;;;;;;;;;;
-7.704.937;-1.211.074;TIENDAS TAMBO S.A.C;JR. MENDIBURU 1136;07:00 am - 10:30 pm;-1.211.074;-7.704.937;07:00 am - 10:30 pm;JR. MENDIBURU 1136;;;;;;;;;;;;;;;;;;;;;;;
-770.348;-1.188.487;JUAN DE DIOS AMADOR LOPEZ BUENO;AV MARIANO CONDORCANQUI  1149 SANTO DOMINGO 1ERA ETAPA ;07:00 am - 10:00 pm;-1.188.487;-770.348;07:00 am - 10:00 pm;AV MARIANO CONDORCANQUI  1149 SANTO DOMINGO 1ERA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.706.986;-119.707;LIBRERIA ALDAIR;JR PEDRO HELMES 453;07:00 am - 10:00 pm;-119.707;-7.706.986;07:00 am - 10:00 pm;JR PEDRO HELMES 453;;;;;;;;;;;;;;;;;;;;;;;
-7.708.627;-1.199.667;BOTICAS MEGAFARMA SCRL;AV ANTUNEZ DE MAYOLO MZ C LT 10 COOPERATIVA OLIVAR ;07:00 am - 10:00 pm;-1.199.667;-7.708.627;07:00 am - 10:00 pm;AV ANTUNEZ DE MAYOLO MZ C LT 10 COOPERATIVA OLIVAR;;;;;;;;;;;;;;;;;;;;;;;
-7.707.631;-1.191.724;BODEGA;ASOC. VIV. CHILLON MZA. B LOTE 13;07:00 am - 10:00 pm;-1.191.724;-7.707.631;07:00 am - 10:00 pm;ASOC. VIV. CHILLON MZA. B LOTE 13;;;;;;;;;;;;;;;;;;;;;;;
-7.708.508;-1.193.465;LIBRERIA BAZAR DARLI;MZ G1 LT 6 ASOC VIV PORTALES DE CHILLON(PUENTE ENSENADA, PARADERO PARQUE CHILLON;07:30 am - 10:00 pm;-1.193.465;-7.708.508;07:30 am - 10:00 pm;MZ G1 LT 6 ASOC VIV PORTALES DE CHILLON(PUENTE ENSENADA, PARADERO PARQUE CHILLON;;;;;;;;;;;;;;;;;;;;;;;
-770.934;-1.208.686;TIENDAS TAMBO S.A.C;AV. COSTANERA NRO. 1070 INT. 1 LIMA - LIMA - SAN MIGUEL-;07:00 am - 10:30 pm;-1.208.686;-770.934;07:00 am - 10:30 pm;AV. COSTANERA NRO. 1070 INT. 1 LIMA - LIMA - SAN MIGUEL-;;;;;;;;;;;;;;;;;;;;;;;
-7.700.121;-121.121;TIENDAS TAMBO S.A.C;AV. ANGAMOS ESTE NRO. 2562 URB. LA CALERA DE LA MERCED (MZ E LTE. 29) LIMA - LIMA - SURQUILLO;07:00 am - 10:30 pm;-121.121;-7.700.121;07:00 am - 10:30 pm;AV. ANGAMOS ESTE NRO. 2562 URB. LA CALERA DE LA MERCED (MZ E LTE. 29) LIMA - LIMA - SURQUILLO;;;;;;;;;;;;;;;;;;;;;;;
-7.705.635;-1.196.576;FARMACIAS MIAFARMA;AV. MAESTRO PERUANO 113 URB. CARABAYLLO / REF: ALTURA DE AV TUPAC AMARU C/N AV. MAESTRO PERUANO;07:30 am - 10:00 pm;-1.196.576;-7.705.635;07:30 am - 10:00 pm;AV. MAESTRO PERUANO 113 URB. CARABAYLLO / REF: ALTURA DE AV TUPAC AMARU C/N AV. MAESTRO PERUANO;;;;;;;;;;;;;;;;;;;;;;;
-7.708.303;-1.193.203;LIBRERIA;CALLE LOS MARINES MZA. R LOTE 13 URB. LA RIVERA DEL CHILLON ;07:00 am - 10:00 pm;-1.193.203;-7.708.303;07:00 am - 10:00 pm;CALLE LOS MARINES MZA. R LOTE 13 URB. LA RIVERA DEL CHILLON;;;;;;;;;;;;;;;;;;;;;;;
-7.705.987;-1.193.991;BODEGA ROMEO;AV LOS ANGELES NRO 125 (CRUCE AV UNIVERSITARIA);07:30 am - 10:00 pm;-1.193.991;-7.705.987;07:30 am - 10:00 pm;AV LOS ANGELES NRO 125 (CRUCE AV UNIVERSITARIA);;;;;;;;;;;;;;;;;;;;;;;
-770.395;-1.194.047;BAZAR REGALOS BKT;AV. PEDRO DE LA GASCA 872 VIRGEN DEL CARMEN;07:00 am - 10:00 pm;-1.194.047;-770.395;07:00 am - 10:00 pm;AV. PEDRO DE LA GASCA 872 VIRGEN DEL CARMEN;;;;;;;;;;;;;;;;;;;;;;;
-7.699.183;-1.216.907;VENTA DE ACCESORIOS DE CELULARES;AV GUARDIA CIVIL NORTE 393  MERCADO SAN SEBASTIÁN PUESTO 33 ;07:00 am - 10:00 pm;-1.216.907;-7.699.183;07:00 am - 10:00 pm;AV GUARDIA CIVIL NORTE 393  MERCADO SAN SEBASTIÁN PUESTO 33;;;;;;;;;;;;;;;;;;;;;;;
-7.708.169;-1.193.078;LIBRERIA BAZAR;CALLE LOS MARINES MZ R LT13 URB. LA RIVERA DEL CHILLON PUENTE PIEDRA;07:00 am - 10:00 pm;-1.193.078;-7.708.169;07:00 am - 10:00 pm;CALLE LOS MARINES MZ R LT13 URB. LA RIVERA DEL CHILLON PUENTE PIEDRA;;;;;;;;;;;;;;;;;;;;;;;
-7.706.899;-1.209.097;OXXO LIBERTAD;JR. LIBERTAD 896, MAGDALENA;07:00 am - 10:00 pm;-1.209.097;-7.706.899;07:00 am - 10:00 pm;JR. LIBERTAD 896, MAGDALENA;;;;;;;;;;;;;;;;;;;;;;;
-7.705.728;-119.162;BOTICA;MZ D LT 20 URB EL PINAR PARCELA A ;07:00 am - 10:00 pm;-119.162;-7.705.728;07:00 am - 10:00 pm;MZ D LT 20 URB EL PINAR PARCELA A;;;;;;;;;;;;;;;;;;;;;;;
-7.700.011;-1.218.261;MUNDO KOLOR;AV GUARDIA CIVIL 433;07:00 am - 10:00 pm;-1.218.261;-7.700.011;07:00 am - 10:00 pm;AV GUARDIA CIVIL 433;;;;;;;;;;;;;;;;;;;;;;;
-7.708.814;-1.192.755;BOTICA;AAHH LADERAS DE CHILLON MZ X LT 47;07:00 am - 10:00 pm;-1.192.755;-7.708.814;07:00 am - 10:00 pm;AAHH LADERAS DE CHILLON MZ X LT 47;;;;;;;;;;;;;;;;;;;;;;;
-7.705.591;-1.193.867;PETER GERONIMO QUIÑONEZ;PROLG HUSARES DE JUNIN 400 RETABLO;07:00 am - 10:00 pm;-1.193.867;-7.705.591;07:00 am - 10:00 pm;PROLG HUSARES DE JUNIN 400 RETABLO;;;;;;;;;;;;;;;;;;;;;;;
-769.682;-1.216.015;TIENDAS TAMBO S.A.C;AV. GUILLERMO BILLINGHURTS NRO. 773 LIMA - LIMA - SAN JUAN DE MIRAFLORES;07:00 am - 10:30 pm;-1.216.015;-769.682;07:00 am - 10:30 pm;AV. GUILLERMO BILLINGHURTS NRO. 773 LIMA - LIMA - SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.700.244;-1.209.369;OXXO NORTE;AV. AVIACION N° 2699;07:00 am - 10:00 pm;-1.209.369;-7.700.244;07:00 am - 10:00 pm;AV. AVIACION N° 2699;;;;;;;;;;;;;;;;;;;;;;;
-7.708.208;-1.198.992;BOTICA;AV UNIVERSITARIA NORTE MZ K LT 1 CAJABAMBA ;07:00 am - 10:00 pm;-1.198.992;-7.708.208;07:00 am - 10:00 pm;AV UNIVERSITARIA NORTE MZ K LT 1 CAJABAMBA;;;;;;;;;;;;;;;;;;;;;;;
-7.700.866;-1.186.238;SEGUNDO MOISES MORALES MUÑOZ;MZ C LT 21 ASOC PROP ROSALES CHILLON;07:00 am - 10:00 pm;-1.186.238;-7.700.866;07:00 am - 10:00 pm;MZ C LT 21 ASOC PROP ROSALES CHILLON;;;;;;;;;;;;;;;;;;;;;;;
-7.707.767;-1.198.144;JHON ANTERO VALVERDE SILVA;AAHH SANTA ROSA DEL NARANJAL MZ G LT 23;07:00 am - 10:00 pm;-1.198.144;-7.707.767;07:00 am - 10:00 pm;AAHH SANTA ROSA DEL NARANJAL MZ G LT 23;;;;;;;;;;;;;;;;;;;;;;;
-7.704.588;-1.196.034;INTERNET NAVARRO;JR NICOLAS DE PIEROLA 225 PPJJ PAMPA DE COMAS;07:30 am - 10:00 pm;-1.196.034;-7.704.588;07:30 am - 10:00 pm;JR NICOLAS DE PIEROLA 225 PPJJ PAMPA DE COMAS;;;;;;;;;;;;;;;;;;;;;;;
-7.707.376;-1.186.414;SCORPION TEC;MZ C LT 12 ASOC OVALO DE PUENTE PIEDRA ( FRENTE AL MERCADO HUAMANTANGA);07:30 am - 10:00 pm;-1.186.414;-7.707.376;07:30 am - 10:00 pm;MZ C LT 12 ASOC OVALO DE PUENTE PIEDRA ( FRENTE AL MERCADO HUAMANTANGA);;;;;;;;;;;;;;;;;;;;;;;
-7.702.203;-1.210.537;OXXO NEGOCIOS;CALLE LOS NEGOCIOS N° 183;07:00 am - 10:00 pm;-1.210.537;-7.702.203;07:00 am - 10:00 pm;CALLE LOS NEGOCIOS N° 183;;;;;;;;;;;;;;;;;;;;;;;
-7.705.369;-1.196.022;DON MANUELITO;AV TUPAC AMARU 768;07:00 am - 10:00 pm;-1.196.022;-7.705.369;07:00 am - 10:00 pm;AV TUPAC AMARU 768;;;;;;;;;;;;;;;;;;;;;;;
-7.698.867;-1.213.905;TIENDAS TAMBO S.A.C;LOMA REDONDA 420 URB PROLONGACION BENAVIDES UNIDAD INMOBILIARIA #2 TDA 2;07:00 am - 10:30 pm;-1.213.905;-7.698.867;07:00 am - 10:30 pm;LOMA REDONDA 420 URB PROLONGACION BENAVIDES UNIDAD INMOBILIARIA #2 TDA 2;;;;;;;;;;;;;;;;;;;;;;;
-7.696.385;-1.209.527;TIENDAS TAMBO S.A.C;JIRÓN CINERARIAS MZ C LT 07 URB. VILLA LIBERTAD ;07:00 am - 10:30 pm;-1.209.527;-7.696.385;07:00 am - 10:30 pm;JIRÓN CINERARIAS MZ C LT 07 URB. VILLA LIBERTAD;;;;;;;;;;;;;;;;;;;;;;;
-7.705.897;-1.198.278;LIBRERIA;AV. GERARDO UNGER 4337 URB NARANJAL ;07:00 am - 10:00 pm;-1.198.278;-7.705.897;07:00 am - 10:00 pm;AV. GERARDO UNGER 4337 URB NARANJAL;;;;;;;;;;;;;;;;;;;;;;;
-7.706.243;-1.199.652;TIENDAS TAMBO S.A.C;AV. EL PACIFICO NRO. 579 INT. 7 (PUERTA PRINCIPAL) LIMA-LIMA-INDEPENDENCIA;07:00 am - 10:30 pm;-1.199.652;-7.706.243;07:00 am - 10:30 pm;AV. EL PACIFICO NRO. 579 INT. 7 (PUERTA PRINCIPAL) LIMA-LIMA-INDEPENDENCIA;;;;;;;;;;;;;;;;;;;;;;;
-7.705.992;-1.196.133;MINI MARKET;AV EL PARRAL 413 URB SAN EULOGIO;07:00 am - 10:00 pm;-1.196.133;-7.705.992;07:00 am - 10:00 pm;AV EL PARRAL 413 URB SAN EULOGIO;;;;;;;;;;;;;;;;;;;;;;;
-7.709.341;-1.199.294;CESAR FREDY VARGAS HERBAY;MZA.C LOTE 6 ASOC SAN JUAN DE DIOS ;07:00 am - 10:00 pm;-1.199.294;-7.709.341;07:00 am - 10:00 pm;MZA.C LOTE 6 ASOC SAN JUAN DE DIOS;;;;;;;;;;;;;;;;;;;;;;;
-7.704.959;-1.195.369;LIBRERIA VANESSA;CAL. SANTA ROSA 885 PJE LA LIBERTAD;07:30 am - 10:00 pm;-1.195.369;-7.704.959;07:30 am - 10:00 pm;CAL. SANTA ROSA 885 PJE LA LIBERTAD;;;;;;;;;;;;;;;;;;;;;;;
-77.086;-1.199.624;SAGA INVEST EIRL;AV ANTUNEZ DE MAYOLO MZ B LT 7 COOP. EL OLIVAR;07:00 am - 10:00 pm;-1.199.624;-77.086;07:00 am - 10:00 pm;AV ANTUNEZ DE MAYOLO MZ B LT 7 COOP. EL OLIVAR;;;;;;;;;;;;;;;;;;;;;;;
-7.706.588;-1.207.257;TIENDAS TAMBO S.A.C;AV. SIMON BOLIVAR NRO. 1171 URB. SAN BERNARDO LIMA - LIMA - PUEBLO LIBRE;07:00 am - 10:30 pm;-1.207.257;-7.706.588;07:00 am - 10:30 pm;AV. SIMON BOLIVAR NRO. 1171 URB. SAN BERNARDO LIMA - LIMA - PUEBLO LIBRE;;;;;;;;;;;;;;;;;;;;;;;
-7.704.557;-1.198.182;BOTICAS T&C;AV. CORICANCHA 202 URB TAHUANTINSUYO (CRUCE CON AV ANTISUYO 192);07:30 am - 10:00 pm;-1.198.182;-7.704.557;07:30 am - 10:00 pm;AV. CORICANCHA 202 URB TAHUANTINSUYO (CRUCE CON AV ANTISUYO 192);;;;;;;;;;;;;;;;;;;;;;;
-7.701.135;-1.191.372;GINEBRA SMART;AV REVOLUCION 2940 4TA ZONA DE COLLIQUE ;07:00 am - 10:00 pm;-1.191.372;-7.701.135;07:00 am - 10:00 pm;AV REVOLUCION 2940 4TA ZONA DE COLLIQUE;;;;;;;;;;;;;;;;;;;;;;;
-770.289;-1.191.993;EBEN-EZER;PJE SAN ANTONIO 190, COMAS 15326 COLLIQUE;07:00 am - 10:00 pm;-1.191.993;-770.289;07:00 am - 10:00 pm;PJE SAN ANTONIO 190, COMAS 15326 COLLIQUE;;;;;;;;;;;;;;;;;;;;;;;
-770.753;-1.193.358;SIMEON QUEVARA TONGO;AV LA CONFRATERNIDAD MZ EE5 LT 55 URB PRO;07:00 am - 10:00 pm;-1.193.358;-770.753;07:00 am - 10:00 pm;AV LA CONFRATERNIDAD MZ EE5 LT 55 URB PRO;;;;;;;;;;;;;;;;;;;;;;;
-7.707.628;-119.171;LIBRERIA;URB SAN ANTONIO DE CARABAYLLO MZ M1 LT 13;07:00 am - 10:00 pm;-119.171;-7.707.628;07:00 am - 10:00 pm;URB SAN ANTONIO DE CARABAYLLO MZ M1 LT 13;;;;;;;;;;;;;;;;;;;;;;;
-770.084;-1.218.782;LOCUTORIO;AV SANTA ANITA 117 VILLA MARINA;07:00 am - 10:00 pm;-1.218.782;-770.084;07:00 am - 10:00 pm;AV SANTA ANITA 117 VILLA MARINA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.213;-119.335;FERREMART;AV. MALECÓN MZ B1 LT 2 PORTALES DE CHILLÓN;07:00 am - 10:00 pm;-119.335;-7.708.213;07:00 am - 10:00 pm;AV. MALECÓN MZ B1 LT 2 PORTALES DE CHILLÓN;;;;;;;;;;;;;;;;;;;;;;;
-7.708.398;-1.198.776;BOTICAS YELIFARMA;AV. LOS OLIVOS MZ.Ñ LT.16A;07:30 am - 10:00 pm;-1.198.776;-7.708.398;07:30 am - 10:00 pm;AV. LOS OLIVOS MZ.Ñ LT.16A;;;;;;;;;;;;;;;;;;;;;;;
-770.569;-1.193.476;GLORIA MARI ALVARES VALENCIA;AV VICTOR BELAUNDE OESTE 911 URB. EL RETABLO;07:00 am - 10:00 pm;-1.193.476;-770.569;07:00 am - 10:00 pm;AV VICTOR BELAUNDE OESTE 911 URB. EL RETABLO;;;;;;;;;;;;;;;;;;;;;;;
-7.706.907;-1.188.143;VENTA DE ACCESORIOS DE CELULARES;MZ A LT 18 URB RESIDENCIAL ROSALUZ 1RA ETAPA ;07:00 am - 10:00 pm;-1.188.143;-7.706.907;07:00 am - 10:00 pm;MZ A LT 18 URB RESIDENCIAL ROSALUZ 1RA ETAPA;;;;;;;;;;;;;;;;;;;;;;;
-7.705.251;-1.191.283;LIBRERIA;AV LOS INCAS MZ X1 LT 18 URB EL PINAR;07:00 am - 10:00 pm;-1.191.283;-7.705.251;07:00 am - 10:00 pm;AV LOS INCAS MZ X1 LT 18 URB EL PINAR;;;;;;;;;;;;;;;;;;;;;;;
-7.707.677;-1.194.417;BOTICA SANTA FE;AV ZARAGOZA MZ 04 LOTE 07(CRUCE AV HUANDOY);07:30 am - 10:00 pm;-1.194.417;-7.707.677;07:30 am - 10:00 pm;AV ZARAGOZA MZ 04 LOTE 07(CRUCE AV HUANDOY);;;;;;;;;;;;;;;;;;;;;;;
-7.705.247;-1.202.489;FERRETERIA;AV EDUARDO DE HABICH 211 URB INGENIERIA;07:00 am - 10:00 pm;-1.202.489;-7.705.247;07:00 am - 10:00 pm;AV EDUARDO DE HABICH 211 URB INGENIERIA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.544;-120.829;BOTICA LALY;AV. JOSÉ DE LA RIVA AGÜERO 293;07:00 am - 10:00 pm;-120.829;-7.708.544;07:00 am - 10:00 pm;AV. JOSÉ DE LA RIVA AGÜERO 293;;;;;;;;;;;;;;;;;;;;;;;
-7.707.474;-1.199.064;BOTICA NAVARRITO;JR. EL AZAFRAN 1095 URB. LAS PARLMERAS;07:30 am - 10:00 pm;-1.199.064;-7.707.474;07:30 am - 10:00 pm;JR. EL AZAFRAN 1095 URB. LAS PARLMERAS;;;;;;;;;;;;;;;;;;;;;;;
-770.756;-118.651;MARY CELL;AV JUAN LECAROS 154;07:30 am - 10:00 pm;-118.651;-770.756;07:30 am - 10:00 pm;AV JUAN LECAROS 154;;;;;;;;;;;;;;;;;;;;;;;
-7.710.247;-1.197.253;BOTICA;AV PACASMAYO MZ A LT 01 URB MANANTIAL DE NARANJAL ;07:00 am - 10:00 pm;-1.197.253;-7.710.247;07:00 am - 10:00 pm;AV PACASMAYO MZ A LT 01 URB MANANTIAL DE NARANJAL;;;;;;;;;;;;;;;;;;;;;;;
-7.694.704;-1.220.192;FARMACIA QUIVEFARMA;SECTOR 1 GRUPO 20 MZ.F LT. 17A;07:00 am - 10:00 pm;-1.220.192;-7.694.704;07:00 am - 10:00 pm;SECTOR 1 GRUPO 20 MZ.F LT. 17A;;;;;;;;;;;;;;;;;;;;;;;
-7.708.022;-119.478;GIOVANNI AMERICO TINOCO PADILLA;CALLE LAS FRESAS MZ S2 LT 52 AAHH LOS OLIVOS DE PRO ;07:00 am - 10:00 pm;-119.478;-7.708.022;07:00 am - 10:00 pm;CALLE LAS FRESAS MZ S2 LT 52 AAHH LOS OLIVOS DE PRO;;;;;;;;;;;;;;;;;;;;;;;
-7.703.548;-1.205.628;COPIAS FLASH;JR LAMPA PASEO 1229 - INT 102/ FRENTE A REAL PLAZA;07:30 am - 10:00 pm;-1.205.628;-7.703.548;07:30 am - 10:00 pm;JR LAMPA PASEO 1229 - INT 102/ FRENTE A REAL PLAZA;;;;;;;;;;;;;;;;;;;;;;;
-7.704.692;-1.189.711;BODEGA MAIRA;AV SAN FELIPE 133 URB SAN FELIPE ;07:00 am - 10:00 pm;-1.189.711;-7.704.692;07:00 am - 10:00 pm;AV SAN FELIPE 133 URB SAN FELIPE;;;;;;;;;;;;;;;;;;;;;;;
-7.706.897;-1.189.058;BODEGA;MZ B LT 18 ASOC VILLA SAN REMO PUENTE PIEDRA;07:00 am - 10:00 pm;-1.189.058;-7.706.897;07:00 am - 10:00 pm;MZ B LT 18 ASOC VILLA SAN REMO PUENTE PIEDRA;;;;;;;;;;;;;;;;;;;;;;;
-7.712.237;-1.207.019;BODEGA;JR CAHUIDE 1276 LA PERLA CALLAO;07:00 am - 10:00 pm;-1.207.019;-7.712.237;07:00 am - 10:00 pm;JR CAHUIDE 1276 LA PERLA CALLAO;;;;;;;;;;;;;;;;;;;;;;;
-7.697.591;-1.218.519;GUSTAVODAVID DIAZ TORRES;CALLE A MZ P LOTE 27 INTERIOR B COOPERATIVA AMERICA;07:00 am - 10:00 pm;-1.218.519;-7.697.591;07:00 am - 10:00 pm;CALLE A MZ P LOTE 27 INTERIOR B COOPERATIVA AMERICA;;;;;;;;;;;;;;;;;;;;;;;
-7.707.718;-120.839;MINIMARKET OSORIO;AV MIGUEL DE UNAMUNO 383 URB SANTA FLORENCIA/ CRUCE CN SAN BRUNO;07:30 am - 10:00 pm;-120.839;-7.707.718;07:30 am - 10:00 pm;AV MIGUEL DE UNAMUNO 383 URB SANTA FLORENCIA/ CRUCE CN SAN BRUNO;;;;;;;;;;;;;;;;;;;;;;;
-770.461;-1.194.508;BODEGA VASQUEZ;JR LIBERTAD 1340 (ALTURA RENIEC COMAS KM 12);07:30 am - 10:00 pm;-1.194.508;-770.461;07:30 am - 10:00 pm;JR LIBERTAD 1340 (ALTURA RENIEC COMAS KM 12);;;;;;;;;;;;;;;;;;;;;;;
-7.705.635;-1.196.576;FARMACIAS MIAFARMA;AV. MAESTRO PERUANO 113 URB. CARABAYLLO / REF: ALTURA DE AV TUPAC AMARU C/N AV. MAESTRO PERUANO;07:30 am - 10:00 pm;-1.196.576;-7.705.635;07:30 am - 10:00 pm;AV. MAESTRO PERUANO 113 URB. CARABAYLLO / REF: ALTURA DE AV TUPAC AMARU C/N AV. MAESTRO PERUANO;;;;;;;;;;;;;;;;;;;;;;;
-769.775;-1.216.662;TIENDAS TAMBO S.A.C;AV. RAMON VARGAS MACHUCA NRO. 124 URB. SAN JUAN (MZ A LT 1 ZONA B) LIMA - LIMA - SAN JUAN DE MIRAFLORES;07:00 am - 10:30 pm;-1.216.662;-769.775;07:00 am - 10:30 pm;AV. RAMON VARGAS MACHUCA NRO. 124 URB. SAN JUAN (MZ A LT 1 ZONA B) LIMA - LIMA - SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.708.399;-1.197.618;SERVICIO TECNICO TANTALEAN;AV NARANJAL 1536;07:30 am - 10:00 pm;-1.197.618;-7.708.399;07:30 am - 10:00 pm;AV NARANJAL 1536;;;;;;;;;;;;;;;;;;;;;;;
-7.708.602;-1.205.025;AGUSTIN CAPCHA PEREZ;AV. SAN BENITO DE PALERMO MZA. D LOTE 16 APV SAN BENITO DE PALERMO ;07:00 am - 10:00 pm;-1.205.025;-7.708.602;07:00 am - 10:00 pm;AV. SAN BENITO DE PALERMO MZA. D LOTE 16 APV SAN BENITO DE PALERMO;;;;;;;;;;;;;;;;;;;;;;;
-7.700.927;-121.278;TIENDAS TAMBO S.A.C;AV. BENAVIDES NRO. 2230 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-121.278;-7.700.927;07:00 am - 10:30 pm;AV. BENAVIDES NRO. 2230 LIMA-LIMA-MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.704.139;-1.194.142;LICORERIA STEVEN;AV. VICTOR ANDRES BELAUNDE ESTE 775 P.J. EL CARMEN - PARADERO LARCO HERRERA;07:30 am - 10:00 pm;-1.194.142;-7.704.139;07:30 am - 10:00 pm;AV. VICTOR ANDRES BELAUNDE ESTE 775 P.J. EL CARMEN - PARADERO LARCO HERRERA;;;;;;;;;;;;;;;;;;;;;;;
-770.758;-1.209.046;KIOSKO TURPO;ESQUINA DE JIRON BOLOGNESI CON AV. LIMA / KIOSKO S/N;07:00 am - 10:00 pm;-1.209.046;-770.758;07:00 am - 10:00 pm;ESQUINA DE JIRON BOLOGNESI CON AV. LIMA / KIOSKO S/N;;;;;;;;;;;;;;;;;;;;;;;
-7.697.375;-121.439;TIENDAS TAMBO S.A.C;AV. DEFENSORES LIMA NRO. 314 URB. PAMPLONA BAJA (MZ. G1 LT.2) - LIMA - LIMA - SAN JUAN DE MIRAFLORES;07:00 am - 10:30 pm;-121.439;-7.697.375;07:00 am - 10:30 pm;AV. DEFENSORES LIMA NRO. 314 URB. PAMPLONA BAJA (MZ. G1 LT.2) - LIMA - LIMA - SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.707.539;-119.359;TIENDAS TAMBO S.A.C;JIRÓN LA HONRADEZ N° 587, SUB LOTE 1-B, MANZANA QQ5, URBANIZACIÓN PRO, QUINTO SECTOR, PRIMERA ETAPA, DISTRITO DE LOS OLIVOS, PROVINCIA Y DEPARTAMENTO DE LIMA;07:00 am - 10:30 pm;-119.359;-7.707.539;07:00 am - 10:30 pm;JIRÓN LA HONRADEZ N° 587, SUB LOTE 1-B, MANZANA QQ5, URBANIZACIÓN PRO, QUINTO SECTOR, PRIMERA ETAPA, DISTRITO DE LOS OLIVOS, PROVINCIA Y DEPARTAMENTO DE LIMA;;;;;;;;;;;;;;;;;;;;;;;
-7.708.563;-1.199.655;JACKELINE YUSHELI PONCE ALVAREZ;COOPERATIVA EL OLIVAR MZ C LT 2 INT1 ;07:00 am - 10:00 pm;-1.199.655;-7.708.563;07:00 am - 10:00 pm;COOPERATIVA EL OLIVAR MZ C LT 2 INT1;;;;;;;;;;;;;;;;;;;;;;;
-7.710.185;-1.199.304;F & R;JIRN LOS CLAVELES 565;07:00 am - 10:00 pm;-1.199.304;-7.710.185;07:00 am - 10:00 pm;JIRN LOS CLAVELES 565;;;;;;;;;;;;;;;;;;;;;;;
-7.704.806;-1.197.862;FANNY MARGOTH SAAVEDRA NAVARRO;AV SACSAYHUAMAN 344 URB TAHUANTINSUYO;07:00 am - 10:00 pm;-1.197.862;-7.704.806;07:00 am - 10:00 pm;AV SACSAYHUAMAN 344 URB TAHUANTINSUYO;;;;;;;;;;;;;;;;;;;;;;;
-7.698.011;-1.218.988;LUIS FERNANDO LEGUIA ALEGRE;MZA. V LOTE 22 P.J. MATEO PUMACAHUA SURCO SAN JUAN DE MIRAFLORES;07:00 am - 10:00 pm;-1.218.988;-7.698.011;07:00 am - 10:00 pm;MZA. V LOTE 22 P.J. MATEO PUMACAHUA SURCO SAN JUAN DE MIRAFLORES;;;;;;;;;;;;;;;;;;;;;;;
-7.699.258;-120.726;TIENDAS TAMBO S.A.C;AV. CIRCUNVALACION NRO 2037 LIMA-LIMA-SAN LUIS;07:00 am - 10:30 pm;-120.726;-7.699.258;07:00 am - 10:30 pm;AV. CIRCUNVALACION NRO 2037 LIMA-LIMA-SAN LUIS;;;;;;;;;;;;;;;;;;;;;;;
