X;Y;Name;DIRECCI__N_COMERCIAL;HORARIO_DE_ATENCI__N;Latitud;Longitud;N;N COMERCIAL;;;;;;
-7.694.593;-1.206.237;TIENDAS TAMBO S.A.C;AV.LOS CONSTRUCTORES NRO.REF URB.STA PATRICIA III ETAPA(AV CONSTRUCTORES 1181-A) LIMA-LIMA-LA MOLINA;07:00 am - 10:30 pm;-1.206.237;-7.694.593;07:00 am - 10:30 pm;AV.LOS CONSTRUCTORES NRO.REF URB.STA PATRICIA III ETAPA(AV CONSTRUCTORES 1181-A) LIMA-LIMA-LA MOLINA;;;;;;
-7.703.262;-1.202.739;TIENDAS TAMBO S.A.C;AV. ALCAZAR NRO. 778 LIMA-LIMA-RIMAC;07:00 am - 10:30 pm;-1.202.739;-7.703.262;07:00 am - 10:30 pm;AV. ALCAZAR NRO. 778 LIMA-LIMA-RIMAC;;;;;;
-7.702.857;-120.259;TIENDAS TAMBO S.A.C;JR. BARRERA Y AGUILAR NRO. 107 URB. CIUDAD Y CAMPO (101 - 103) LIMA - LIMA - RIMAC;07:00 am - 10:30 pm;-120.259;-7.702.857;07:00 am - 10:30 pm;JR. BARRERA Y AGUILAR NRO. 107 URB. CIUDAD Y CAMPO (101 - 103) LIMA - LIMA - RIMAC;;;;;;
-7.700.556;-1.208.866;TIENDAS TAMBO S.A.C;JR. UCELLO 102 URB. CORPAC 1ERA ZONA DISTRITO DE SAN BORJA;07:00 am - 10:30 pm;-1.208.866;-7.700.556;07:00 am - 10:30 pm;JR. UCELLO 102 URB. CORPAC 1ERA ZONA DISTRITO DE SAN BORJA;;;;;;
-7.707.947;-1.207.436;TIENDAS TAMBO S.A.C;AV. UNIVERSITARIA MZA. D-6 LOTE. 1 URB. PANDO OCTAVA ETAPA (LOCAL 2)LIMA-LIMA-SAN MIGUEL;07:00 am - 10:30 pm;-1.207.436;-7.707.947;07:00 am - 10:30 pm;AV. UNIVERSITARIA MZA. D-6 LOTE. 1 URB. PANDO OCTAVA ETAPA (LOCAL 2)LIMA-LIMA-SAN MIGUEL;;;;;;
-7.703.546;-1.208.613;TIENDAS TAMBO S.A.C;AV. ARENALES NRO 2140 LIMA-LIMA-LIMA;07:00 am - 10:30 pm;-1.208.613;-7.703.546;07:00 am - 10:30 pm;AV. ARENALES NRO 2140 LIMA-LIMA-LIMA;;;;;;
-7.697.308;-1.208.533;TIENDAS TAMBO S.A.C;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;07:00 am - 10:30 pm;-1.208.533;-7.697.308;07:00 am - 10:30 pm;AV. MANUEL OLGUIN NRO. 205 URB. EX PARCELACION SEMIRUSTICA LOS GRANADOS LIMA-LIMA-SANTIAGO DE SURCO;;;;;;
-7.698.759;-1.195.931;TIENDAS TAMBO S.A.C;PROGRAMA CIUDAD MARISCAL CÁCERES MZ A LTE 35 SECTOR 1 PRIMERA ETAPA LIMA-LIMA-SAN JUAN DE LURIGANCHO;07:00 am - 10:30 pm;-1.195.931;-7.698.759;07:00 am - 10:30 pm;PROGRAMA CIUDAD MARISCAL CÁCERES MZ A LTE 35 SECTOR 1 PRIMERA ETAPA LIMA-LIMA-SAN JUAN DE LURIGANCHO;;;;;;
-7.692.803;-1.208.278;TIENDAS TAMBO S.A.C;AV. LA MOLINA 2832 A15 MZ D LOTE 02 EL SAUCE DE LA RINCONADA;07:00 am - 10:30 pm;-1.208.278;-7.692.803;07:00 am - 10:30 pm;AV. LA MOLINA 2832 A15 MZ D LOTE 02 EL SAUCE DE LA RINCONADA;;;;;;
-7.703.022;-1.212.675;TIENDAS TAMBO S.A.C;AV. 28 DE JULIO 448 LIMA-LIMA-MIRAFLORES;07:00 am - 10:30 pm;-1.212.675;-7.703.022;07:00 am - 10:30 pm;AV. 28 DE JULIO 448 LIMA-LIMA-MIRAFLORES;;;;;;
-770.473;-1.209.281;TIENDAS TAMBO S.A.C;CAL. LAS FLORES NRO 205 URB COUNTRY CLUB LIMA-LIMA-SAN ISIDRO;07:00 am - 10:30 pm;-1.209.281;-770.473;07:00 am - 10:30 pm;CAL. LAS FLORES NRO 205 URB COUNTRY CLUB LIMA-LIMA-SAN ISIDRO;;;;;;
-7.702.453;-120.966;TIENDAS TAMBO S.A.C;AV. ENRIQUE CANAVAL Y MOREYRA NRO. 139 LIMA - LIMA - SAN ISIDRO;07:00 am - 10:30 pm;-120.966;-7.702.453;07:00 am - 10:30 pm;AV. ENRIQUE CANAVAL Y MOREYRA NRO. 139 LIMA - LIMA - SAN ISIDRO;;;;;;
