X;Y;Name;LATITUD;LONGITUD
-77.033.945;-12.079.849.973.832;MANUEL SEGURA (336);-1.207.985;-77.033.945
-77.034.715;-12.074.684.973.832;ALEJANDRO TIRADO (336);-12.074.685;-77.034.715
-77.035.657;-12.068.544.973.832;SACO OLIVEROS (336);-12.068.545;-77.035.657
-77.038.239;-12.054.457.973.832;URUGUAY (3369;-12.054.458;-77.038.239
-77.038.268;-12.047.696.973.832;MOQUEGUA (336);-12.047.697;-77.038.268
-77.036.639;-12.045.316.973.832;ICA (3369;-12.045.317;-77.036.639
-77.028.078;-12.032.525.973.832;ALCAZAR (336);-12.032.526;-77.028.078
-77.029.165;-12.029.813.973.832;LOS VIRREYES (336);-12.029.814;-77.029.165
-77.028.524;-12.026.179.973.832;AGUILAR (336);-1.202.618;-77.028.524
-77.042.721;-12.016.433.973.832;LAS LOMAS (371);-12.016.434;-77.042.721
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
